name, definition location, definition-adapting, calling-convention-adapting, scope-adapting, call-site-context-adapting, thunkizing, metaprogramming, nested invocations, correct classification, notes
ELF_ST_TYPE, extracted_programs/linux-6.2-rc2/scripts/sorttable.h:62:10, False, True, True, False, False, False, False, true, undefined at one point and defined as an alias for another macro
MTL_RESET_PICA_HANDSHAKE_EN, extracted_programs/linux-6.2-rc2/drivers/gpu/drm/i915/i915_reg.h:5758:10, False, False, False, True, False, False, False, true, global constant defined to a non-ICE expression
E1000_TORL, extracted_programs/linux-6.2-rc2/drivers/net/ethernet/intel/e1000e/regs.h:163:9, False, False, False, False, False, False, True, true, also definition-adapting
p4_config_pack_escr, extracted_programs/linux-6.2-rc2/arch/x86/include/asm/perf_event_p4.h:81:9, False, False, False, False, False, False, True, true, also definition-adapting function
iQdirectory_files, extracted_programs/emacs-28.1/src/globals.h:2074:9, False, False, False, False, False, False, True, true, also metaprogramming; invocation was constructed from token-pasting
LUAI_THROW, extracted_programs/lua-5.4.4/src/ldo.c:66:9, False, False, True, False, False, False, False,  true, name appears in a static conditional
FORM_NUM_BLANK, extracted_programs/perl-5.36.0/pp_ctl.c:480:9, False, False, False, False, False, False, False, false, not classified; invoked in conditional expression; RHS of assignment
DASH_HZ, extracted_programs/linux-6.2-rc2/arch/x86/realmode/rm/wakemain.c:36:9, False, False, False, False, False, False, False, false, definition-adapting; numeric constant; passed to a function call
RE_NO_BK_PARENS, extracted_programs/gawk-5.1.1/support/regex.h:148:10, False, False, False, False, False, False, True, true, also definition-adapting
SIXAXIS_CONTROLLER_BT, extracted_programs/linux-6.2-rc2/drivers/hid/hid-sony.c:49:9, False, False, False, True, False, False, True, true, definition-adapting
DDI_CLK_SEL_TBT_162, extracted_programs/linux-6.2-rc2/drivers/gpu/drm/i915/i915_reg.h:7039:10, False, False, False, True, False, False, False, true, expands to a nested function-like macro invocation inside of a case label
PerlMemShared_malloc, extracted_programs/perl-5.36.0/iperlsys.h:901:11, False, False, False, False, False, False, False, false, not classified; alias for malloc; argument of one invocation is a conditional expr; RHS of assignment; operand of cast-expression; invoked in conditional expr
DRM_MODE_FB_DIRTY_FLAGS, extracted_programs/linux-6.2-rc2/include/uapi/drm/drm_mode.h:737:9, True, False, False, False, False, False, False, true, enum
FIRST_EXTERNAL_VECTOR, extracted_programs/linux-6.2-rc2/arch/x86/include/asm/irq_vectors.h:36:9, False, False, False, False, False, False, True, true, also definition-adapting
RXD_ERR_BAD_CRC, extracted_programs/linux-6.2-rc2/drivers/net/ethernet/broadcom/tg3.h:2620:9, False, False, False, False, False, False, True, true, also definition-adapting
ISUNIBYTE, extracted_programs/emacs-28.1/src/regex-emacs.c:105:9, False, False, False, False, False, False, False, false, should be definition-adapting; expands to a function call; LHS of comparison
CAP_GRP_HDR_CAPTURE_TYPE, extracted_programs/linux-6.2-rc2/drivers/gpu/drm/i915/gt/uc/guc_capture_fwif.h:142:9, False, False, False, False, False, False, True, true, also definition-adapting
t_Dvibeginningofline, extracted_programs/zsh-5.9/Src/Zle/zle_things.h:644:9, False, False, False, False, False, False, True, true, also calling-convention-adapting; defined to a memory address and invoked in a non-c file
DMA_RWCTRL_READ_BNDRY_256, extracted_programs/linux-6.2-rc2/drivers/net/ethernet/broadcom/tg3.h:226:10, True, False, False, False, False, False, False, true, enum
NOOP, extracted_programs/perl-5.36.0/perl.h:639:9, False, False, True, False, True, False, True, true, also definition-adapting
FDI_FE_ERRC_ENABLE, extracted_programs/linux-6.2-rc2/drivers/gpu/drm/i915/i915_reg.h:6351:10, True, False, False, False, False, False, False, true, enum
INTEL_CE_GBE_MDIC_OP_WRITE, extracted_programs/linux-6.2-rc2/drivers/net/ethernet/intel/e1000/e1000_hw.h:1599:9, True, False, False, False, False, False, False, true, enum
__UAPI_DEF_IF_IFNAMSIZ, extracted_programs/linux-6.2-rc2/include/uapi/linux/libc-compat.h:183:9, False, False, False, True, False, False, False, true, appears in a static conditional
IDA_BITMAP_BITS, extracted_programs/linux-6.2-rc2/include/linux/idr.h:238:9, False, False, True, False, False, False, True, true, definition-adapting
ATTR_KILL_SGID, extracted_programs/linux-6.2-rc2/include/linux/fs.h:202:9, False, False, True, False, False, False, False, false, definition-adapting; used as return value; on RHS of |; on RHS of &; in RHS of &=; on LHS of &&; on RHS of |=; 
CONFIG_NODES_SHIFT, extracted_programs/linux-6.2-rc2/include/generated/autoconf.h:846:9, False, False, False, False, False, False, True, true, also scope-adapting
FDAY0, extracted_programs/gnuplot-5.4.4/src/national.h:174:9, False, False, False, False, False, False, False, false, also definition-adapting string constant; invoked in array initializer
pr_fmt, extracted_programs/linux-6.2-rc2/drivers/acpi/ioapic.c:21:9, False, False, False, False, False, False, True, true, also exploits TP6 string concatenation
tw_refcnt, extracted_programs/linux-6.2-rc2/include/net/inet_timewait_sock.h:47:9, False, False, False, True, False, False, True, true, defined to a field access of a struct field name
BUILD_BUG, extracted_programs/linux-6.2-rc2/tools/include/linux/build_bug.h:59:9, False, False, False, False, False, False, True, true, ultimately expands to macro compile_time_asssert which (if the __OPTIMIZE macro is not defined) uses token-pasting; so may also be metaprogramming
XV_VERSION, extracted_programs/xfig-3.2.8b/src/w_rottext.h:27:9, True, False, False, False, False, False, False, true, floating point constant
TYPE_WORM, extracted_programs/linux-6.2-rc2/include/scsi/scsi_proto.h:237:9, False, False, True, False, False, False, True, true, also definition-adapting
topology_cluster_cpumask, extracted_programs/linux-6.2-rc2/arch/x86/include/asm/topology.h:120:9, False, False, False, False, False, False, True, true, function alias
_ICL_DSC1_RC_RANGE_PARAMETERS_2_UDW_PC, extracted_programs/linux-6.2-rc2/drivers/gpu/drm/i915/i915_reg.h:2317:9, False, False, False, False, False, False, True, true, also definition-adapting
